Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.097395 , -0.487618 , 2.535261 , 0.000000
1 , 0.02 , 0.123856 , -0.506391 , 3.224051 , 0.000000
1 , 0.02 , 0.169630 , -0.538866 , 4.415589 , 0.000000
1 , 0.02 , 0.204326 , -0.462900 , 5.318762 , 0.000000
1 , 0.02 , 0.204549 , -0.277404 , 5.324559 , 0.000000
1 , 0.02 , 0.204771 , -0.092185 , 5.330348 , 0.000000
1 , 0.02 , 0.204995 , 0.094137 , 5.336171 , 0.000000
1 , 0.02 , 0.205221 , 0.282021 , 5.342042 , 0.000000
1 , 0.02 , 0.205448 , 0.471005 , 5.347949 , 0.000000
1 , 0.02 , 0.205676 , 0.661562 , 5.353904 , 0.000000
1 , 0.02 , 0.205907 , 0.854180 , 5.359924 , 0.000000
1 , 0.02 , 0.206142 , 1.049369 , 5.366024 , 0.000000
1 , 0.02 , 0.206380 , 1.247665 , 5.372221 , 0.000000
1 , 0.02 , 0.206622 , 1.449637 , 5.378533 , 0.000000
1 , 0.02 , 0.074099 , -0.466733 , 1.767936 , 0.000000
1 , 0.02 , 0.087402 , -0.475389 , 2.085351 , 0.000000
1 , 0.02 , 0.106252 , -0.487654 , 2.535087 , 0.000000
1 , 0.02 , 0.135121 , -0.506438 , 3.223892 , 0.000000
1 , 0.02 , 0.185066 , -0.538934 , 4.415522 , 0.000000
1 , 0.02 , 0.222881 , -0.462878 , 5.317770 , 0.000000
1 , 0.02 , 0.223123 , -0.277391 , 5.323565 , 0.000000
1 , 0.02 , 0.223366 , -0.092181 , 5.329352 , 0.000000
1 , 0.02 , 0.223610 , 0.094132 , 5.335174 , 0.000000
1 , 0.02 , 0.223856 , 0.282008 , 5.341044 , 0.000000
1 , 0.02 , 0.224104 , 0.470983 , 5.346949 , 0.000000
1 , 0.02 , 0.224353 , 0.661531 , 5.352903 , 0.000000
1 , 0.02 , 0.224605 , 0.854140 , 5.358921 , 0.000000
1 , 0.02 , 0.224861 , 1.049320 , 5.365020 , 0.000000
1 , 0.02 , 0.225121 , 1.247606 , 5.371215 , 0.000000
1 , 0.02 , 0.225385 , 1.449569 , 5.377526 , 0.000000
1 , 0.02 , 0.080273 , -0.466756 , 1.767751 , 0.000000
1 , 0.02 , 0.094686 , -0.475417 , 2.085152 , 0.000000
1 , 0.02 , 0.115108 , -0.487688 , 2.534876 , 0.000000
1 , 0.02 , 0.146387 , -0.506483 , 3.223686 , 0.000000
1 , 0.02 , 0.200501 , -0.539000 , 4.415384 , 0.000000
1 , 0.02 , 0.241433 , -0.462862 , 5.316776 , 0.000000
1 , 0.02 , 0.241697 , -0.277382 , 5.322571 , 0.000000
1 , 0.02 , 0.241959 , -0.092178 , 5.328357 , 0.000000
1 , 0.02 , 0.242224 , 0.094129 , 5.334177 , 0.000000
1 , 0.02 , 0.242490 , 0.281998 , 5.340046 , 0.000000
1 , 0.02 , 0.242758 , 0.470967 , 5.345950 , 0.000000
1 , 0.02 , 0.243028 , 0.661508 , 5.351902 , 0.000000
1 , 0.02 , 0.243302 , 0.854111 , 5.357919 , 0.000000
1 , 0.02 , 0.243579 , 1.049284 , 5.364016 , 0.000000
1 , 0.02 , 0.243860 , 1.247563 , 5.370211 , 0.000000
1 , 0.02 , 0.244146 , 1.449519 , 5.376520 , 0.000000
1 , 0.02 , 0.086447 , -0.466778 , 1.767544 , 0.000000
1 , 0.02 , 0.101970 , -0.475443 , 2.084925 , 0.000000
1 , 0.02 , 0.123964 , -0.487721 , 2.534630 , 0.000000
1 , 0.02 , 0.157652 , -0.506527 , 3.223431 , 0.000000
